"location"," median_inc ","mean_hh","median_fam","mean_fam"," per_capita ","poverty_allfam","poverty_married","poverty_singlefemale","poverty_all","poverty_u18","total_unemp","unemp_rate"
"Tustin city",77827,96080,84014,105689,32193,6.8,4.6,14.8,10.2,12.5,3205,5.4
"Westminster city",52498,75065,56586,81133,24745,11,9.3,17.7,14.4,20.4,5145,7
"Yorba Linda city",111379,139511,132791,155873,47872,2.8,2.8,4,4.4,4.7,2690,5.3
"Placer County",68959,84564,83992,95958,32482,6.3,3.3,17.4,8.6,8.6,18915,6.7
"Roseville city",75184,86424,96451,102101,32370,4.6,3.4,8.7,7.1,4.8,4535,4.8
"Riverside County",52883,69898,60598,76063,22359,13.1,8.3,29.6,16.8,23,160221,9.5
"Corona city",80557,92172,91588,99392,27294,9.3,5.9,26.9,11.1,16.6,10054,8.6
"Hemet city",29679,42738,38236,51377,17851,21.2,15.5,41.4,23.7,27.3,6210,9.8
"Indio city",41082,61436,48069,63493,19748,18.6,7.7,37.5,22.7,30.8,6470,11.5
"Menifee city",56735,70979,62443,81581,23980,4.2,2.9,11.9,8.2,6.6,7612,11.9
"Moreno Valley city",53018,64737,53636,65511,17547,17.6,9.8,33.4,20.6,28.5,15215,10.9
"Murrieta city",72496,88848,81501,96882,27775,4.2,1.9,20.6,5.8,7.8,5811,7.5
"Perris city",36229,41885,35841,41491,10987,34.1,26.8,42.1,36.5,47.2,6405,14.8
"Riverside city",51331,68641,57230,74196,20561,15.3,9.8,32.7,20.5,26.4,21327,8.9
"Temecula city",66869,76458,75360,78849,24749,9.7,4.6,25.1,11.6,15,5409,7.3
"Sacramento County",52314,68117,60166,75899,25123,13.4,8.4,27.6,17.7,25.2,106951,9.6
"Arden-Arcade CDP",38881,64441,55609,81617,29332,14.4,11.5,27.6,20.7,27.2,7128,9.6
"Citrus Heights city",49983,61718,61712,68476,23900,11.7,8,23.1,15.3,23.7,7259,10.9
"Elk Grove city",73250,93339,76693,99097,29189,6,2.6,21.7,8.4,9.7,9525,8.1
"Rancho Cordova city",48452,63143,53267,67291,23314,9,3.4,20.3,12,15.2,6114,12.3
"Sacramento city",47908,62683,53170,68438,23585,18.5,11,34.2,23,34.8,36579,10.1
"San Bernardino County",51247,65472,55903,70922,20355,15.2,9.5,30.7,19.3,26.1,152756,9.9
"Apple Valley town",51258,64799,62015,69292,22416,15,4.8,44.8,17.3,22.4,4470,8.3
"Chino city",59749,77745,78993,89387,22991,9.2,8.6,17,13.8,14.8,4067,6.5
"Chino Hills city",93736,109341,102536,114754,32995,4.8,2,12.2,6.3,8,5166,9
"Fontana city",64202,72313,67464,75109,18894,12.4,6.8,27.1,15.5,23.4,20827,14.2
"Hesperia city",42298,52154,46860,55505,15832,18.8,16,27.4,22.7,26.6,8146,12.5
"Ontario city",49713,58583,48993,57919,17625,18.4,11.3,26.5,22.8,33.1,15013,12
"Rancho Cucamonga city",70836,82463,83988,91936,28862,5.5,5,8.5,7.5,8,9639,7.2
"Redlands city",66577,92966,88381,111529,34117,8.2,5.1,18.4,12.7,14.5,3173,5.7
"Rialto city",45415,54936,46871,56739,14106,19.4,12.3,39.6,20.8,26.5,9938,14.1
"San Bernardino city",35118,46792,37356,52083,13731,27.7,17.3,47.6,31.9,42.5,18550,12
"Upland city",59780,77455,61742,83470,29304,9.7,9.8,11.2,13.8,15.5,3074,5.1
