"id","date_time","incident_num","location","apt_lot","type_id","lat","lng","group"
6754,10/09/12 07:13 AM,2012193676,"4600 FORUM BLVD-CO",,47,38.90054,-92.35527,-1
8573,10/03/12 02:42 AM,2012189740,"1901 RANGE LINE ST-CO",,16,38.97142,-92.32633,-1
3858,10/19/12 12:59 AM,2012200110,"1200 WORLEY ST W-CO",,19,38.95948,-92.35598,-1
967,10/28/12 10:25 PM,2012206557,"PARIS RD-CO/VANDIVER DR-CO",,23,38.9731,-92.3025,-1
226,10/31/12 02:56 PM,2012208280,"103 STADIUM BLVD N-CO",121,17,38.95601,-92.37227,-1
8527,10/03/12 08:42 AM,2012189830,"2401 BROADWAY W-CO",,25,38.95576,-92.37526,-1
5362,10/14/12 12:17 AM,2012196890,"2900 OLD HIGHWAY 63 S-CO",,17,38.91769,-92.30444,2
4932,10/15/12 02:38 PM,2012197726,"CITY",,22,38.9525,-92.3305,7
323,10/31/12 04:25 AM,2012208053,"1011 BROADWAY E-CO",,11,38.95166,-92.32603,-1
6892,10/08/12 05:24 PM,2012193301,"5008 ROYAL LYTHAM DR-CO",,24,38.89596,-92.35967,-1
8969,10/01/12 10:38 PM,2012188917,"2608 NELWOOD DR-CO",,1,38.97747,-92.2973,5
4460,10/16/12 10:23 PM,2012198726,"100 BROADWAY W-CO",,3,38.95108,-92.33983,-1
6773,10/09/12 03:48 AM,2012193636,"1416 OLD HIGHWAY 63 S-CO",,3,38.93208,-92.31066,-1
1703,10/26/12 11:24 PM,2012205153,"5000 CARRIERIDGE DR-CO",,1,38.89554,-92.34248,-1
6673,10/09/12 04:39 PM,2012193861,"1000 KNIPP ST-CO",,17,38.96593,-92.37206,-1
836,10/29/12 03:27 PM,2012206875,"3011 DAVID DR-CO",,32,38.9853,-92.29211,-1
7109,10/07/12 04:42 PM,2012192775,"1270 I70 W-CO",,31,38.9688,-92.3276,1
4028,10/18/12 02:42 PM,2012199749,"4303 PROVIDENCE RD S-CO",,7,38.90182741,-92.33708557,10
5137,10/14/12 01:37 PM,2012197274,"CLARK LN-CO/HIGHWAY 63 CONNECTOR NB-CO",,1,38.9636,-92.2918,-1
2393,10/24/12 06:15 PM,2012203509,"COLLEGE AV N-CO/WILKES BLVD-CO",,7,38.9601,-92.3213,-1
1988,10/25/12 11:58 PM,2012204487,"711 BUSINESS LOOP 70 E-CO",,15,38.96463,-92.32797,-1
4308,10/17/12 12:50 PM,2012199057,"16 HITT ST-CO",1,39,38.95062,-92.3252,-1
3345,10/20/12 08:31 PM,2012201225,"601 ANN ST N-CO","C",25,38.9576,-92.31469,-1
6327,10/10/12 10:06 PM,2012194715,"3201 CREASY SPRINGS RD-CO",,19,38.98605,-92.35176,-1
8431,10/03/12 04:41 PM,2012190000,"2834 STADIUM BLVD E-CO",,17,,,-1
2398,10/24/12 05:54 PM,2012203524,"4707 HOCKADAY PL-CO",,38,39.00048,-92.31116,-1
2281,10/25/12 01:06 AM,2012203797,"PROVIDENCE RD S-CO/STADIUM BLVD E-CO",,1,38.9379,-92.3343,-1
2068,10/25/12 06:08 PM,2012204268,"BALLENGER LN-CO/TIMBER LN-CO",,3,38.9821,-92.2648,2
9011,10/01/12 08:06 PM,2012188819,"1915 WAVERLY CT-CO","A",13,38.90946,-92.30968,-1
3020,10/22/12 06:32 AM,2012201974,"600 WALNUT ST E-CO",,2,38.95248,-92.33047,-1
1828,10/26/12 04:05 PM,2012204856,"1400 FORUM BLVD-CO",6,17,38.93624,-92.3585,-1
4103,10/18/12 03:41 AM,2012199537,"1009 GARTH AV N-CO",,4,38.96288,-92.33884,-1
1963,10/26/12 02:28 AM,2012204557,"NINTH ST N-CO/PARK AV-CO",,1,38.9545,-92.3275,-1
5950,10/12/12 06:54 AM,2012195603,"123 NINTH ST S-CO",,3,38.94969,-92.32796,2
8298,10/03/12 11:34 PM,2012190273,"LASALLE PL-CO/WORLEY ST E-CO",,1,38.9577,-92.3364,-1
7401,10/06/12 06:58 PM,2012192184,"CITY",,8,38.9525,-92.3305,-1
1180,10/28/12 04:27 AM,2012206142,"2415 NORTHAMPTON DR-CO",,4,38.91286,-92.3028,2
2514,10/24/12 06:37 AM,2012203242,"110 STEWART RD E-CO",,4,38.94581,-92.33584,8
8877,10/02/12 04:15 AM,2012189108,"CITY",,2,38.9525,-92.3305,-1
7991,10/04/12 08:49 PM,2012190894,"I70 E-CO/HIGHWAY 63 CONNECTOR NB-CO",,1,38.9617,-92.2921,8
8031,10/04/12 06:36 PM,2012190813,"114 CLINKSCALES RD-CO",,17,38.95641,-92.36202,-1
5367,10/14/12 12:09 AM,2012196892,"I70 E-CO/HIGHWAY 63 CONNECTOR NB-CO",,41,38.9617,-92.2921,-1
6913,10/08/12 04:00 PM,2012193279,"1512 BUSINESS LOOP 70 W-CO","D",24,38.96716,-92.36127,-1
3261,10/21/12 04:09 AM,2012201434,"STADIUM BLVD W-CO/WEST BLVD S-CO",,36,38.9391,-92.353,-1
8421,10/03/12 05:02 PM,2012190020,"PROVIDENCE RD S-CO/STEWART RD E-CO",,7,38.946,-92.3345,-1
7137,10/07/12 12:41 PM,2012192703,"STADIUM BLVD N-CO/I70 W-CO",,5,38.9683,-92.3711,-1
7310,10/07/12 12:16 AM,2012192379,"1610 RICHARDSON ST-CO",,1,38.95469,-92.31559,-1
4421,10/17/12 12:48 AM,2012198816,"3205 CRABAPPLE LN-CO",,17,38.89384,-92.38591,3
3653,10/19/12 08:23 PM,2012200564,"2404 SUNFLOWER ST-CO",,40,38.98102,-92.37963,-1
3532,10/20/12 03:11 AM,2012200845,"29 TENTH ST S-CO",,3,38.95066,-92.32674,-1
5032,10/14/12 11:58 PM,2012197514,"3001 BROADWAY W-CO",,17,38.95696,-92.38247,2
3884,10/18/12 10:43 PM,2012200029,"104 PARK DE VILLE DR-CO",,17,38.95727,-92.38405,-1
6500,10/10/12 10:58 AM,2012194370,"CITY",,33,38.9525,-92.3305,-1
7837,10/05/12 07:08 AM,2012191259,"WALNUT ST E-CO/COLLEGE AV N-CO",,1,38.9525,-92.3217,-1
5639,10/13/12 06:16 AM,2012196370,"1715 WORLEY ST W-CO","D",12,38.96099,-92.36528,-1
4058,10/18/12 07:52 AM,2012199647,"PARIS RD-CO/COLLEGE AV N-CO",,1,38.9564,-92.3216,-1
3644,10/19/12 09:11 PM,2012200594,"2200 BALLENGER LN-CO",,7,,,-1
3655,10/19/12 08:21 PM,2012200560,"200 PROVIDENCE RD N-CO",,10,38.9541,-92.33375,-1
6462,10/10/12 02:01 PM,2012194438,"DERBY RIDGE DR-CO/AVATAR CT-CO",,1,38.9938,-92.3173,-1
2544,10/24/12 03:26 AM,2012203147,"2799 GARTH AV N-CO",,25,38.98037,-92.34018,-1
600,10/30/12 01:28 PM,2012207452,"SEVENTH ST N-CO/BUSINESS LOOP 70 E-CO",,42,38.9641,-92.3293,-1
1081,10/28/12 08:26 AM,2012206288,"BROADWAY E-CO/GREEN VALLEY DR-CO",,1,38.9485,-92.3072,-1
2277,10/25/12 01:15 AM,2012203813,"2309 HIGHLAND DR-CO",,3,38.95361,-92.37395,-1
4750,10/16/12 12:41 AM,2012198111,"PARIS RD-CO/MOUNT VERNON AV-CO",,1,38.9602,-92.3156,-1
6128,10/11/12 05:19 PM,2012195152,"3301 WOODDALE LN-CO",,17,38.91844,-92.37099,-1
7101,10/07/12 05:17 PM,2012192797,"706 LEE ST-CO",,5,38.94317,-92.3205,-1
210,10/31/12 04:01 PM,2012208326,"CHAPEL HILL RD-CO/FAIRVIEW RD S-CO",,2,38.9355,-92.381,-1
3340,10/20/12 08:40 PM,2012201233,"404 COLLEGE AV N-CO",,24,38.95538,-92.3213,-1
9006,10/01/12 08:26 PM,2012188833,"WALNUT ST E-CO/COLLEGE AV N-CO",,1,38.9525,-92.3217,0
5282,10/14/12 03:40 AM,2012197037,"101 FIFTH ST S-CO",,8,38.95045,-92.3321,-1
3689,10/19/12 06:13 PM,2012200477,"2001 BROADWAY E-CO",,3,38.95014,-92.3081,-1
5745,10/13/12 01:01 AM,2012196142,"RANGE LINE ST-CO/I70 E-CO",,5,38.9686,-92.3249,-1
2497,10/24/12 10:10 AM,2012203270,"2412 BUSINESS LOOP 70 E-CO",,16,38.96324,-92.30163,4
7536,10/06/12 05:35 AM,2012191924,"204 NINTH ST S-CO","A",3,38.94929,-92.32726,-1
538,10/30/12 05:01 PM,2012207586,"PROVIDENCE RD S-CO/CARRIE FRANCKE DR-CO",,1,38.9335,-92.337,-1
5214,10/14/12 06:16 AM,2012197135,"120 NINTH ST S-CO",,23,38.94988,-92.32738,-1
826,10/29/12 03:47 PM,2012206887,"MEXICO GRAVEL RD-CO/VANDIVER DR-CO",,1,38.981,-92.2798,-1
2950,10/22/12 04:44 PM,2012202172,"703 GLENSTONE DR-CO",,9,38.95793,-92.27885,-1
421,10/30/12 10:30 PM,2012207829,"KELSEY DR-CO/IRMA DR-CO",,1,38.9755,-92.2519,-1
2894,10/22/12 07:50 PM,2012202251,"2016 PARIS RD-CO",,36,38.96761,-92.30725,-1
3600,10/19/12 11:05 PM,2012200744,"2203 RANGE LINE ST-CO","2A",32,38.9748,-92.3273,-1
1514,10/27/12 07:07 AM,2012205488,"110 STEWART RD E-CO",,5,38.94581,-92.33584,-1
4637,10/16/12 02:17 PM,2012198357,"1001 ROGERS ST-CO",,71,38.9574,-92.32641,-1
8158,10/04/12 08:36 AM,2012190556,"4103 WHITE TIGER ST-CO",,39,,,-1
3389,10/20/12 04:04 PM,2012201126,"801 VANDIVER DR-CO",,31,38.97174,-92.3273,-1
5789,10/12/12 10:22 PM,2012196034,"3503 CROSS TIMBER CT-CO",,17,38.91476,-92.38878,-1
2958,10/22/12 04:15 PM,2012202132,"3202 BLUE GROUSE DR-CO",,9,38.98407,-92.3315,-1
7295,10/07/12 12:45 AM,2012192395,"BUSINESS LOOP 70 E-CO/FAY ST-CO",,1,38.964,-92.3224,-1
5547,10/13/12 02:51 PM,2012196542,"1800 BLK KATY LN-CO",,1,,,-1
1701,10/26/12 11:34 PM,2012205162,"220 BUSINESS LOOP 70 E-CO",,8,38.96431,-92.33437,-1
7927,10/05/12 12:29 AM,2012191028,"ELM ST-CO/SIXTH ST S-CO",,1,38.9486,-92.3309,-1
1717,10/26/12 10:27 PM,2012205119,"3100 BLK CLARK LN-CO",,14,38.9637,-92.291,-1
1001,10/28/12 06:43 PM,2012206480,"SULLIVAN ST-CO/SMILEY LN-CO",,12,38.9939,-92.3355,-1
1307,10/27/12 10:31 PM,2012205923,"1729 BROADWAY W-CO","A",24,38.95381,-92.36469,-1
2561,10/24/12 01:54 AM,2012203096,"1100 JEFFERSON ST-CO",,15,38.96372,-92.343,-1
7610,10/06/12 02:45 AM,2012191799,"WORLEY ST E-CO/PROVIDENCE RD N-CO",,14,38.9574,-92.3342,-1
8912,10/02/12 12:58 AM,2012189011,"4614 OAK VIEW DR-CO",,10,38.97859,-92.26695,-1
8672,10/02/12 08:48 PM,2012189517,"4151 PARIS RD-CO",,16,38.992425,-92.285031,-1
1053,10/28/12 12:36 PM,2012206348,"3501 WAKEFIELD DR-CO",,42,38.91407,-92.3505,-1
1194,10/28/12 04:02 AM,2012206126,"119 SEVENTH ST S-CO",,10,38.94995,-92.33004,-1
272,10/31/12 12:36 PM,2012208199,"310 PROVIDENCE RD N-CO",,37,38.95516,-92.33355,-1
1632,10/27/12 03:06 AM,2012205309,"FAIRVIEW RD S-CO/BRAY AV-CO",,4,38.9398,-92.381,-1
2527,10/24/12 05:22 AM,2012203202,"3009 PARIS RD-CO","L",16,38.98173,-92.29268,-1
8942,10/01/12 11:47 PM,2012188963,"GARTH AV N-CO/SWITZLER ST-CO",,1,38.9568,-92.3389,-1
2566,10/24/12 01:35 AM,2012203083,"16 HITT ST-CO",1,15,38.95062,-92.3252,-1
6180,10/11/12 01:19 PM,2012195041,"713 ROGERS ST-CO",,11,38.95702,-92.32929,-1
875,10/29/12 12:32 PM,2012206768,"GRINDSTONE PKWY-CO/HIGHWAY 63 S NB-CO",,7,38.9129,-92.2935,-1
6150,10/11/12 03:38 PM,2012195107,"LILAC DR-CO/GARDEN DR-CO",,35,38.9747,-92.3762,-1
8835,10/02/12 12:20 PM,2012189200,"KEENE ST N-CO/ST CHARLES RD-CO",,3,38.9488,-92.2906,0
